StudentID,StudyHours,Attendance,PreviousScore,AssignmentScore,InternalScore,SleepHours,InternetUsageHours,Extracurricular,FamilyBackground,FinalScore,PerformanceCategory
1,6.0,91.1,91.0,84.3,63.2,7.7,0.6,Yes,High School,88.5,Good
2,4.7,100.0,83.9,68.4,70.1,8.2,2.2,No,High School,76.0,Good
3,6.3,63.2,70.9,65.2,61.7,6.6,2.9,No,Postgraduate,61.7,Average
4,8.0,86.8,60.3,75.0,68.0,6.3,6.3,Yes,Postgraduate,73.9,Average
5,4.5,72.2,80.5,73.0,47.4,5.7,4.3,No,Graduate,70.1,Average
6,4.5,74.2,75.9,69.6,74.8,6.0,1.5,No,High School,63.8,Average
7,8.2,72.9,83.4,83.4,72.0,10.0,4.2,Yes,Postgraduate,82.5,Good
8,6.5,69.6,79.5,86.5,61.4,8.5,1.2,Yes,High School,82.5,Good
9,4.1,80.6,85.7,76.1,80.6,5.4,5.1,Yes,Postgraduate,68.4,Average
10,6.1,70.0,62.0,92.7,84.2,5.4,2.8,No,High School,70.6,Average
11,4.1,83.2,89.8,61.3,51.1,7.6,3.4,Yes,High School,68.9,Average
12,4.1,79.4,73.0,72.7,62.1,7.7,5.5,No,Postgraduate,59.3,Needs Improvement
13,5.5,77.1,100.0,66.4,62.0,7.7,1.6,Yes,Postgraduate,76.2,Good
14,1.2,69.1,59.7,52.6,59.8,6.7,1.4,No,Postgraduate,57.2,Needs Improvement
15,1.6,73.1,96.0,74.0,82.8,6.8,2.6,Yes,High School,66.5,Average
16,3.9,89.1,73.0,73.5,69.5,7.4,5.1,Yes,Graduate,62.7,Average
17,3.0,86.0,60.2,93.2,68.6,7.1,1.2,No,High School,65.9,Average
18,5.6,68.3,62.7,82.6,45.9,4.3,0.5,No,High School,68.9,Average
19,3.2,81.2,65.2,62.7,80.3,6.7,2.8,No,High School,64.9,Average
20,2.2,89.0,76.4,97.2,55.9,6.0,4.3,Yes,Postgraduate,64.8,Average
21,7.9,60.0,77.8,89.7,72.8,7.2,5.3,No,High School,79.0,Good
22,4.5,86.5,61.4,82.0,75.6,10.0,2.8,Yes,High School,68.3,Average
23,5.1,72.0,69.6,72.3,89.7,7.4,2.9,Yes,Graduate,79.3,Good
24,2.2,86.8,100.0,63.5,55.0,6.6,5.2,Yes,Postgraduate,69.3,Average
25,3.9,70.8,95.9,70.5,32.7,8.1,0.7,Yes,High School,69.4,Average
26,5.2,58.3,76.5,88.1,74.4,7.6,2.9,Yes,Graduate,81.4,Good
27,2.7,60.5,70.6,97.6,95.4,7.5,3.8,No,Graduate,65.9,Average
28,5.8,80.6,71.8,93.5,88.1,7.7,4.2,Yes,Postgraduate,87.6,Good
29,3.8,83.1,79.2,69.1,74.7,9.5,2.7,No,High School,75.2,Good
30,4.4,69.1,54.7,61.6,65.6,5.6,3.6,Yes,Graduate,59.9,Needs Improvement
31,3.8,87.7,66.1,76.7,82.5,7.6,0.5,Yes,High School,76.3,Good
32,8.7,60.1,45.0,53.8,59.3,5.9,2.5,Yes,Postgraduate,67.1,Average
33,5.0,79.2,76.0,78.9,78.2,7.7,4.2,No,High School,80.7,Good
34,2.9,65.5,79.7,73.2,78.6,5.9,2.0,No,High School,62.3,Average
35,6.6,72.2,62.8,69.4,85.8,6.5,3.6,No,High School,70.0,Average
36,2.6,80.6,93.6,55.9,100.0,6.6,4.2,No,High School,78.0,Good
37,5.4,69.7,51.6,81.2,77.1,8.2,3.0,Yes,High School,69.3,Average
38,1.1,75.4,48.0,68.6,65.4,8.1,3.8,Yes,Postgraduate,60.7,Average
39,2.3,92.1,73.4,61.0,71.7,5.5,2.1,No,Graduate,73.2,Average
40,5.4,73.1,85.7,40.5,49.0,7.1,3.2,Yes,High School,65.9,Average
